brand,processor_brand,processor_name,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,Touchscreen,msoffice,latest_price,star_rating
DELL,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,No,42190,3.9
DELL,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,39490,4
HP,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,43690,4.1
ASUS,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,No,No,35990,3.8
DELL,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,43800,4.2
Lenovo,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,38990,0
ASUS,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,No,34990,3.7
ASUS,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,No,No,38900,3.9
DELL,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,No,39990,3.8
DELL,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,40890,4
Lenovo,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,No,36990,3.7
HP,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,39990,3.9
HP,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,41990,4
DELL,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,No,No,43970,3.9
HP,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,No,39790,3.9
ASUS,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,ThinNlight,No,No,35590,3.4
HP,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,36490,3.8
ASUS,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,38990,4
ASUS,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,ThinNlight,No,No,33990,3.7
DELL,Intel,Core i3,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,No,Yes,43400,4.1
